index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
0,2018-06-05,2563018.0,80.24,21.5168,1.07340147656,66191.66,545.3569,NASDAQ,,0.067682875,0.04763625,0.0260075555556,0.0145154444444
1,2018-06-05,129235.0,10.07,57.3056,0.953935035356,246.17,224.78223,NYSE,Healthcare-Services,0.11860225,0.06060425,0.0385742222222,0.0227612222222
2,2018-06-05,16803.0,58.6592,14.1952,0.389075331509,265.43,1073.8827905,ARCA,,0.313409875,0.205359875,0.130670333333,0.129688
3,2018-06-05,4748117.0,44.86,33.0432,1.28388974017,21001.33,493.8335695,NASDAQ,Airlines,0.032194375,0.02023675,0.0107955,0.01
4,2018-06-05,645.0,67.3,93.312,-0.319435937832,108.47,132.256619,AMEX,Diversified Finan Serv,8.30789466667,6.99299725,4.64946066667,5.00467611111
5,2018-06-05,2235.0,2.75,111.2768,0.0220748925229,55.73,509.288614,NASDAQ,Insurance,0.200254,,0.1985085,0.2
6,2018-06-05,402362.0,40.41,29.2736,0.974083194587,2842.64,208.5407425,NYSE,Commercial Services,0.198312375,0.081777875,0.0245967777778,0.0103971111111
7,2018-06-05,662101.0,46.95,64.768,1.14364924253,919.23,253.114131,NASDAQ,Electronics,0.130557,0.08639825,0.0571563333333,0.0274571111111
8,2018-06-05,243527.0,31.85,29.6128,0.584653881947,1667.74,574.1198425,NASDAQ,Building Materials,0.217430125,0.097998875,0.0520824444444,0.05
9,2018-06-05,16645475.0,191.83,15.968,1.03410258515,942870.92,386.6959275,NASDAQ,Computers,0.022277125,0.017006125,0.0109826666667,0.0102995555556
10,2018-06-05,1114175.0,129.91,34.5088,1.09291192155,9617.41,201.38148,NYSE,Retail,0.306391125,0.207899625,0.096683625,0.0309665555556
11,2018-06-05,160421.0,36.63,17.9776,0.229036796091,1729.06,230.6304025,NYSE,REITS,0.137294625,0.067620125,0.0190467777778,0.01
12,2018-06-05,2065995.0,48.46,31.744,0.900624168113,9035.65,245.3562635,NYSE,Mining,0.069407,0.03691075,0.020819,0.0115777777778
