index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
0,2018-06-08,3015938.0,79.75,21.8752,1.12988726623,65787.45,569.6510975,NASDAQ,,0.0581821111111,0.0422014444444,0.0245745555556,0.0120564444444
1,2018-06-08,128398.0,10.29,56.544,0.911237880139,251.55,230.360257,NYSE,Healthcare-Services,0.136018444444,0.0577731111111,0.0352718888889,0.0210586666667
2,2018-06-08,20137.0,59.05,14.3872,0.421752920202,270.15,1113.6087165,ARCA,,0.302348555556,0.205107555556,0.139425666667,0.115390444444
3,2018-06-08,4853209.0,43.84,32.704,1.29551194627,20523.81,492.0319765,NASDAQ,Airlines,0.0310432222222,0.0201023333333,0.0107071111111,0.01
4,2018-06-08,783.0,70.9,89.1072,-0.323013255165,114.27,132.256619,AMEX,Diversified Finan Serv,7.1415224,7.58780955556,4.95674655556,5.21602855556
5,2018-06-08,2158.0,2.6,112.032,-0.249406347191,52.69,508.5528655,NASDAQ,Insurance,0.200254,,0.20253875,0.2
6,2018-06-08,390727.0,40.7,28.0832,0.948635957681,2863.04,208.5407425,NYSE,Commercial Services,0.173971444444,0.0796881111111,0.0251645555556,0.0100284444444
7,2018-06-08,1440470.0,44.98,63.9168,1.22861683431,880.66,254.93617,NASDAQ,Electronics,0.144343,0.0941528888889,0.0654603333333,0.0290091111111
8,2018-06-08,243527.0,33.0,28.7936,0.605167932651,1727.95,578.660869,NASDAQ,Building Materials,0.226807111111,0.0972664444444,0.0516518888889,0.05
9,2018-06-08,18879839.0,193.46,15.328,1.04021041815,950882.6,493.1364505,NASDAQ,Computers,0.0218715555556,0.0166625555556,0.0109286666667,0.0101298888889
10,2018-06-08,1044306.0,130.05,32.6336,1.06344387383,9627.77,192.083558,NYSE,Retail,0.265945444444,0.188227444444,0.0886696666667,0.0286347777778
11,2018-06-08,178927.0,37.18,17.7216,0.241532772829,1755.03,226.722189,NYSE,REITS,0.147392888889,0.0668033333333,0.0196851111111,0.0105901111111
12,2018-06-08,2098956.0,49.19,30.9632,0.971036019474,9171.76,260.3975495,NYSE,Mining,0.0648575555556,0.0352691111111,0.0195955555556,0.010278
13,2018-06-08,117155.0,0.7287,44.4224,0.251189669475,74.47,1204.226474,AMEX,Mining,0.00890222222222,0.00801022222222,0.00636422222222,0.00692877777778
14,2018-06-08,228058.0,3.1,57.3312,0.617375732783,577.23,9715.3223395,NYSE,Oil&Gas,0.0640385555556,0.053859,0.05,0.0558432222222
15,2018-06-08,180379.0,71.0,28.7424,0.888330456981,1814.89,250.76131,NASDAQ,Transportation,0.344862222222,0.173343555556,0.108989444444,0.084992
16,2018-06-08,489502.0,77.92,10.1696,0.800302005567,4877.79,670.5133775,NASDAQ,,0.0560998888889,0.029287,0.0213016666667,0.0145234444444
17,2018-06-08,1004423.0,63.53,38.2656,0.751141062594,3693.26,271.656183,NASDAQ,Miscellaneous Manufactur,0.221167222222,0.117910777778,0.0532123333333,0.0188044444444
18,2018-06-08,1741.0,2.36,97.7344,0.392030330263,23.56,404.017334,NASDAQ,Agriculture,0.089241,0.059879,0.0791086666667,0.119586
19,2018-06-08,386585.0,83.0,23.3088,0.814440919049,1898.29,336.0884765,NASDAQ,Healthcare-Products,0.0966606666667,0.0405008888889,0.0275023333333,0.0272435555556
20,2018-06-08,1438642.0,23.1,11.7184,0.729992926614,50084.22,3366.829075,NYSE,Machinery-Constr&Mining,0.01,0.01,0.01,0.01
21,2018-06-08,10868520.0,99.32,23.4496,1.15181240211,157608.87,290.7881085,NYSE,Pharmaceuticals,0.0567061111111,0.0342794444444,0.0196063333333,0.0123613333333
22,2018-06-08,220660.0,57.45,19.3728,0.766750746169,2353.79,316.4836845,NASDAQ,Banks,0.300654333333,0.127892111111,0.0792848888889,0.0500367777778
23,2018-06-08,110297.0,10.16,54.848,0.874411507868,478.71,255.344368,NASDAQ,Commercial Services,0.0675701111111,0.0311637777778,0.025454,0.0123185555556
24,2018-06-08,851956.0,86.6,27.0016,0.975317127855,19035.03,205.9443655,NYSE,Pharmaceuticals,0.193078444444,0.108462666667,0.0439108888889,0.017775
25,2018-06-08,64110.0,6.67,46.0928,0.196485835508,91.29,523.822295,NASDAQ,Investment Companies,0.1855178,0.0721438571429,0.0386904444444,0.0310356666667
26,2018-06-08,877908.0,16.3,85.9008,1.76173624067,771.08,1009.430401,NASDAQ,Biotechnology,0.100819333333,0.0756831111111,0.0536963333333,0.0543912222222
27,2018-06-08,23112362.0,4.85,24.1664,0.685939893076,76252.41,131886.238985,NYSE,Beverages,0.01,0.01,0.01,0.01
28,2018-06-08,136024.0,73.6,28.7296,1.02700495195,1518.48,208.762132,NYSE,Retail,0.384962222222,0.207406555556,0.106545666667,0.0888176666667
29,2018-06-08,14485.0,2.46,118.7072,0.03721170403,6.34,275.856763,NASDAQ,Computers,0.0935383333333,0.09041,0.0781697777778,0.0712965
30,2018-06-08,368122.0,0.53,112.4352,-0.250895088932,7.38,1937.996812,NASDAQ,Biotechnology,0.015361375,0.0100366666667,0.00771133333333,0.00743066666667
31,2018-06-08,2313.0,52.6,14.7072,-0.0160218314076,3966.38,194.060132,NASDAQ,Biotechnology,3.7374395,0.28185575,0.321995888889,
32,2018-06-08,724120.0,405.62,34.9568,1.35134062308,18041.1,171.450954,NASDAQ,Healthcare-Products,1.04879333333,0.677923222222,0.462636,0.200954666667
