index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
0,2018-06-01,1881804.0,77.16,22.0224,1.07918950891,63650.91,512.708055,NASDAQ,,0.06660875,0.047063,0.0258372222222,0.0147948888889
1,2018-06-01,115894.0,10.76,58.3296,0.990934178784,263.04,224.78223,NYSE,Healthcare-Services,0.112525875,0.0652855,0.0399266666667,0.022809
2,2018-06-01,15856.0,57.66,14.6048,0.393534907148,260.91,1127.972426,ARCA,,0.348967,0.200512,0.135710333333,0.131845222222
3,2018-06-01,3879649.0,43.54,33.6448,1.26333518601,20383.37,527.0722245,NASDAQ,Airlines,0.03155925,0.018879125,0.010413125,0.01
4,2018-06-01,640.0,68.9,90.9632,-0.310256672607,111.05,143.1843225,AMEX,Diversified Finan Serv,5.324649,6.368123875,4.93356222222,5.583888
5,2018-06-01,1942.0,2.95,102.9184,-0.0162387559737,59.78,422.4552085,NASDAQ,Insurance,,,0.164548,
6,2018-06-01,409435.0,39.78,29.4976,0.968932362449,2798.32,212.2223225,NYSE,Commercial Services,0.218783,0.082472,0.0246014444444,0.0106483333333
7,2018-06-01,447053.0,46.77,60.4224,1.12915985046,915.71,253.114131,NASDAQ,Electronics,0.134942,0.085399625,0.0543787777778,0.0286778888889
8,2018-06-01,257981.0,30.5,29.4272,0.562218432634,1597.05,486.229636,NASDAQ,Building Materials,0.222445375,0.10492425,0.0532864444444,0.05
9,2018-06-01,15275631.0,186.87,16.3264,1.03227600111,918491.84,383.537938,NASDAQ,Computers,0.024259875,0.0175795,0.0115648888889,0.0101696666667
10,2018-06-01,1088956.0,128.62,35.0912,1.06182770648,9521.91,231.1871265,NYSE,Retail,0.29576725,0.203499875,0.094178125,0.0301972222222
11,2018-06-01,160421.0,36.35,17.8496,0.1977239389,1715.85,236.8831345,NYSE,REITS,0.13559575,0.06536325,0.0182758888889,0.01
12,2018-06-01,1953172.0,48.07,32.3776,0.913985252361,8962.93,250.251326,NYSE,Mining,0.067766625,0.034782,0.0200841111111,0.0118067777778
13,2018-06-01,101049.0,0.7046,45.984,0.284910512363,72.01,1425.225192,AMEX,Mining,0.009639375,0.007022125,0.00532688888889,0.00678388888889
14,2018-06-01,170109.0,3.0,55.7824,0.597029423405,557.89,9106.940407,NYSE,Oil&Gas,0.059176375,0.05,0.05,0.05
15,2018-06-01,115013.0,68.15,29.5232,0.879196864688,1742.04,216.4791015,NASDAQ,Transportation,0.377737625,0.17195875,0.108835444444,0.0855174444444
16,2018-06-01,752087.0,76.0,10.9312,0.807182723277,4757.6,737.9400735,NASDAQ,,0.038186625,0.024658375,0.01971,0.0141634444444
17,2018-06-01,1137719.0,63.68,38.2464,0.721851837138,3701.98,265.9691825,NASDAQ,Miscellaneous Manufactur,0.191318625,0.10310275,0.0498362222222,0.0178637777778
18,2018-06-01,1895.0,2.2,82.88,0.457978694854,21.96,404.017334,NASDAQ,Agriculture,,,0.0784722,
19,2018-06-01,403940.0,82.8,26.3616,0.867466202049,1893.72,541.885029,NASDAQ,Healthcare-Products,0.119319875,0.03925275,0.0252938888889,0.0259842222222
20,2018-06-01,1777035.0,22.74,12.4032,0.712287830227,49303.69,3230.666083,NYSE,Machinery-Constr&Mining,0.01,0.01,0.01,0.01
21,2018-06-01,9625304.0,98.94,25.0496,1.14845680954,157005.85,290.7881085,NYSE,Pharmaceuticals,0.056025125,0.037869375,0.0202416666667,0.0141215555556
22,2018-06-01,165406.0,55.7,20.9408,0.788252037369,2282.09,316.4836845,NASDAQ,Banks,0.24956125,0.125564125,0.0826538888889,0.0527846666667
23,2018-06-01,113919.0,10.01,59.8848,0.835833793557,471.65,255.344368,NASDAQ,Commercial Services,0.060499375,0.03082625,0.0255542222222,0.0166775555556
24,2018-06-01,963905.0,82.14,27.8336,0.992625265545,18054.71,207.350965,NYSE,Pharmaceuticals,0.207124125,0.105535,0.0418698888889,0.0184453333333
25,2018-06-01,76272.0,6.7,45.536,0.247848795525,91.7,586.0691915,NASDAQ,Investment Companies,0.1549628,0.0741483333333,0.0398933333333,0.0378705
26,2018-06-01,813295.0,17.7,78.0288,1.84950799887,837.3,964.9363385,NASDAQ,Biotechnology,0.10302875,0.08458575,0.0540098888889,0.0543912222222
27,2018-06-01,23500898.0,5.26,22.816,0.650660837594,82698.49,116606.439504,NYSE,Beverages,0.01,0.01,0.01,0.01
28,2018-06-01,150772.0,69.55,29.7088,1.01401956678,1434.92,221.74126,NYSE,Retail,0.450303,0.21767725,0.107145666667,0.0914754444444
29,2018-06-01,13475.0,2.23,123.3536,-0.0593762422778,5.74,275.856763,NASDAQ,Computers,0.109361333333,0.0640286666667,0.07908125,0.078887
30,2018-06-01,508143.0,0.549,119.5648,-0.289675063621,7.64,1690.389498,NASDAQ,Biotechnology,0.013342,0.009300125,0.00595766666667,0.00708522222222
31,2018-06-01,3696.0,52.78,12.8896,-0.0167117897541,3979.96,187.8018,NASDAQ,Biotechnology,,0.195569666667,0.211735444444,0.2165345
32,2018-06-01,447139.0,381.14,33.9776,1.33183389926,16952.28,179.667214,NASDAQ,Healthcare-Products,1.19021675,0.782992875,0.489577333333,0.238575
33,2018-06-01,615060.0,28.46,20.128,0.812003078212,1869.82,379.7912255,NYSE,Commercial Services,0.122479625,0.047401875,0.0112945555556,0.01
34,2018-06-01,677.0,25.7289,5.8752,0.015597300304,,421.315569,NYSE,REITS,0.2317105,0.255,0.180330875,0.163840888889
35,2018-06-01,848.5,25.354,5.7088,0.00855752424828,,350.640038,NYSE,REITS,,0.154238666667,0.142840666667,0.0966048333333
36,2018-06-01,1100.0,25.9,8.6592,-0.0123548736768,,423.285623,NYSE,REITS,0.0967815,0.22775,0.203333714286,0.186666666667
37,2018-06-01,539930.0,9.56,12.8384,0.155846994997,858.42,2433.888216,NYSE,REITS,0.01129925,0.01,0.01,0.01
