index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
54,ACLS US,2019-01-02,163688.0,17.8,46.2976,1.22485188537,576.94,176.6007625,NASDAQ,Semiconductors
55,ACMR US,2019-01-02,24099.0,10.88,81.5744,0.492168485015,174.12,556.7700035,NASDAQ,Semiconductors
56,ACM US,2019-01-02,826207.0,26.5,32.9792,0.909862297078,4143.32,224.9615865,NYSE,Engineering&Construction
57,ACNB US,2019-01-02,11993.0,39.25,70.0032,0.188356323203,276.41,439.68423,NASDAQ,Banks
58,ACN US,2019-01-02,2089039.0,141.01,27.1552,1.0467262759,90021.94,160.049036,NYSE,Computers
59,ACOR US,2019-01-02,695591.0,15.58,67.5264,1.26874762165,740.96,197.3659005,NASDAQ,Biotechnology
60,ACP US,2019-01-02,161980.0,10.48,22.0416,0.209879475733,137.02,501.1454835,NYSE,
61,ACRE US,2019-01-02,116671.0,13.04,23.4048,0.522206038011,374.23,337.134839,NYSE,REITS
62,ACRS US,2019-01-02,716762.0,7.39,74.6752,1.05384934447,302.52,444.0441785,NASDAQ,Pharmaceuticals
63,ACRX US,2019-01-02,2075171.0,2.31,88.0448,1.3240978168,172.07,2555.819799,NASDAQ,Pharmaceuticals
64,ACSG US,2019-01-02,0.0,23.68,5.7856,0.00113672722718,7.1,589.9616105,ARCA,
65,ACSI US,2019-01-02,2010.0,28.86,24.1088,0.220716245493,49.06,3100.803296,BATS,
66,ACST US,2019-01-02,439981.0,0.8319,80.2176,0.339199190922,65.0,1712.932469,NASDAQ,Pharmaceuticals
67,ACTG US,2019-01-02,159283.0,2.98,58.2464,0.537518338205,147.93,946.169603,NASDAQ,Commercial Services
68,ACT US,2019-01-02,4392.0,21.46,19.3472,0.2759280967,11.27,275.9576795,NASDAQ,
69,AC US,2019-01-02,13938.0,35.23,62.5792,0.338990823674,796.11,206.1917705,NYSE,Diversified Finan Serv
70,ACU US,2019-01-02,23523.0,14.25,90.8736,0.195463508722,48.01,699.533949,AMEX,Household Products/Wares
71,ACV US,2019-01-02,93560.0,18.62,27.872,0.368749081385,191.32,581.0186835,NYSE,
72,ACWF US,2019-01-02,114172.0,25.97,19.8784,0.480724879537,161.01,1215.3892195,ARCA,
73,ACWI US,2019-01-02,13156748.0,64.16,18.432,0.802769188862,10599.23,1737.9777655,NASDAQ,
74,ACWV US,2019-01-02,854683.0,81.26,14.1568,0.567370048144,3542.94,538.5667835,BATS,
75,ACWX US,2019-01-02,6140601.0,41.96,14.784,0.578393247511,4783.44,3958.08392,NASDAQ,
76,ACY US,2019-01-02,7772.0,9.57,86.6176,0.180817276205,14.79,308.2795805,AMEX,Diversified Finan Serv
77,ADAP US,2019-01-02,749917.0,5.75,99.3344,1.02008057577,601.28,369.04697,NASDAQ,Biotechnology
78,ADBE US,2019-01-02,4759746.0,226.24,38.5024,1.28798100838,110435.33,165.378831,NASDAQ,Software
79,ADC US,2019-01-02,323518.0,59.12,26.1696,0.463549017404,2038.55,168.282754,NYSE,REITS
80,ADES US,2019-01-02,95965.0,10.55,48.4736,0.730539389655,210.11,299.834608,NASDAQ,Coal
81,ADIL US,2019-01-02,916189.0,5.12,188.9024,0.19746946267,33.57,781.840917,NASDAQ,Biotechnology
82,ADI US,2019-01-02,1830555.0,85.83,30.88,1.02566259234,31770.79,188.0916275,NASDAQ,Semiconductors
83,ADMA US,2019-01-02,358908.0,2.39,85.9968,0.849785204907,110.78,596.1918465,NASDAQ,Biotechnology
84,ADMP US,2019-01-02,577406.0,2.25,83.4112,0.857812071399,106.41,1243.260866,NASDAQ,Pharmaceuticals
85,ADMS US,2019-01-02,556566.0,8.54,73.1712,1.55433630653,233.45,255.465375,NASDAQ,Pharmaceuticals
86,ADM US,2019-01-02,2687696.0,40.97,25.9008,0.869021730343,22969.6,323.7947505,NYSE,Agriculture
87,ADNT US,2019-01-02,2742288.0,15.06,70.6304,1.37156451697,1406.54,313.36817,NYSE,Auto Parts&Equipment
88,ADOM US,2019-01-02,268079.0,0.272,142.0608,0.887282404932,19.78,2232.53171,NASDAQ,Auto Manufacturers
89,ADP US,2019-01-02,1772361.0,131.12,28.3776,1.04352507465,57395.49,163.1009795,NASDAQ,Commercial Services
90,ADRA US,2019-01-02,1925.0,28.93,17.8752,0.0241039487624,17.36,404.0625425,NASDAQ,
91,ADRD US,2019-01-02,18124.0,19.63,15.872,0.191956863413,53.0,474.420486,NASDAQ,
92,ADRE US,2019-01-02,5048.0,36.17,20.0,0.100189938947,119.36,423.8847875,NASDAQ,
93,ADRO US,2019-01-02,564050.0,2.64,104.6912,1.82188596858,209.63,819.7033855,NASDAQ,Biotechnology
94,ADRU US,2019-01-02,2086.0,19.1,15.8784,0.0257967710791,13.37,601.466348,NASDAQ,
95,ADSK US,2019-01-02,1423792.0,128.61,42.3488,1.43515882636,28166.73,150.4021145,NASDAQ,Software
96,ADS US,2019-01-02,465708.0,150.08,37.7472,1.17630761974,8175.39,130.525219,NYSE,Diversified Finan Serv
97,ADSW US,2019-01-02,342894.0,23.94,27.4624,0.651879323681,2122.55,210.107288,NYSE,Environmental Control
98,ADTN US,2019-01-02,287370.0,10.74,47.9232,1.10839219423,511.76,231.381803,NASDAQ,Telecommunications
99,ADT US,2019-01-02,2343888.0,6.01,48.0768,0.855780776715,4547.09,1645.505446,NYSE,Electronics
100,ADUS US,2019-01-02,132799.0,67.88,47.5328,0.820467517193,889.12,139.962902,NASDAQ,Healthcare-Services
101,ADVM US,2019-01-02,292434.0,3.15,78.7072,1.43180954754,198.04,603.622453,NASDAQ,Biotechnology
102,ADXS US,2019-01-02,821606.0,0.19,117.8496,0.902254717389,13.15,2242.8325875,NASDAQ,Biotechnology
103,ADX US,2019-01-02,459532.0,12.62,22.912,0.780276736585,1272.96,826.655762,NYSE,
104,AEE US,2019-01-02,945565.0,65.23,23.1232,0.399231255335,15918.73,209.397592,NYSE,Electric
105,AEF US,2019-01-02,132589.0,6.35,18.6304,0.22653565267,564.95,1207.960606,AMEX,
106,AEGN US,2019-01-02,155904.0,16.32,46.5088,0.892306550456,527.36,177.976753,NASDAQ,Engineering&Construction
107,AEG US,2019-01-02,1986733.0,4.65,21.5936,0.671769883095,9812.77,12836.5852975,NYSE,Insurance
108,AEHR US,2019-01-02,70012.0,1.41,84.0192,-0.0531787194377,31.38,1703.570562,NASDAQ,Semiconductors
109,AEIS US,2019-01-02,305853.0,42.93,46.2784,1.22026203043,1652.34,158.400454,NASDAQ,Electronics
