index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-01-04,24854.5,12.9298,11.84,-0.00582149224832,89.86,7733.92013625,ARCA,
1,AABA US,2019-01-04,5147045.0,55.53,30.048,0.894468359601,33623.87,962.20245775,NASDAQ,
2,AAC US,2019-01-04,303600.0,1.58,110.5536,0.558090532057,38.87,784.46371575,NYSE,Healthcare-Services
3,AADR US,2019-01-04,54925.0,39.875,22.1504,0.250547158416,97.69,622.67685125,ARCA,
4,AAL US,2019-01-04,6644058.0,30.06,48.448,1.33992952602,13845.08,419.539773,NASDAQ,Airlines
5,AAMC US,2019-01-04,6269.0,30.3083,132.2368,0.061880067488,49.49,177.296993,AMEX,Diversified Finan Serv
6,AAME US,2019-01-04,1623.0,2.65,102.5792,0.0231694964298,53.53,468.4890005,NASDAQ,Insurance
7,AAN US,2019-01-04,399318.0,42.76,43.2384,1.08763633789,2933.11,156.92581175,NYSE,Commercial Services
8,AAOI US,2019-01-04,678166.5,15.06,71.5584,1.39582171815,298.17,236.505671,NASDAQ,Electronics
9,AAON US,2019-01-04,115446.0,33.77,42.2016,1.05606265729,1759.23,156.0094885,NASDAQ,Building Materials
10,AAPL US,2019-01-04,41911807.0,142.19,30.9312,1.12628065714,674748.14,367.85241375,NASDAQ,Computers
11,AAP US,2019-01-04,839999.5,162.85,32.4352,0.846258599305,11870.74,142.71722025,NYSE,Retail
12,AAT US,2019-01-04,165911.0,39.31,25.8496,0.504728706655,1856.3,154.49254375,NYSE,REITS
13,AA US,2019-01-04,2694656.0,26.24,50.5152,1.39463868725,4893.6,322.54448,NYSE,Mining
14,AAU US,2019-01-04,199891.5,0.6886,78.4384,0.0190477287834,76.88,1604.545349,AMEX,Mining
15,AAWW US,2019-01-04,290351.5,40.61,50.9376,1.12483378606,1039.22,160.39553225,NASDAQ,Transportation
16,AAXJ US,2019-01-04,1237496.0,61.6,15.8528,0.622576165969,4040.96,955.90165425,NASDAQ,
17,AAXN US,2019-01-04,637671.0,43.29,47.6992,0.919835760066,2545.92,200.57480725,NASDAQ,Miscellaneous Manufactur
18,ABAC US,2019-01-04,7272.0,1.17,107.8656,0.123909723098,15.25,1041.21465875,NASDAQ,Agriculture
19,ABB US,2019-01-04,2947631.5,18.62,19.7696,0.689229824783,40370.92,3703.73799675,NYSE,Machinery-Constr&Mining
20,ABBV US,2019-01-04,5580172.5,86.29,36.2496,0.984598668179,129798.83,209.41009325,NYSE,Pharmaceuticals
21,ABCB US,2019-01-04,382313.5,31.84,40.5504,0.99879257231,1512.49,164.0446,NASDAQ,Banks
22,ABC US,2019-01-04,1000398.0,73.37,35.1936,1.02650938034,15549.56,153.4716165,NYSE,Pharmaceuticals
23,ABDC US,2019-01-04,49823.0,6.74,42.2336,0.105378718375,91.11,863.3732235,NASDAQ,Investment Companies
24,ABEO US,2019-01-04,509687.5,6.62,83.5072,1.37703334037,317.39,375.7184735,NASDAQ,Biotechnology
25,ABEV US,2019-01-04,16924841.0,4.24,31.0144,0.667898359596,66661.9,99689.3828298,NYSE,Beverages
26,ABG US,2019-01-04,140155.5,67.84,40.1088,0.908660144935,1329.77,121.526302,NYSE,Retail
27,ABIL US,2019-01-04,223598.0,1.9,112.4352,0.617831096987,12.13,1159.62393,NASDAQ,Computers
28,ABIO US,2019-01-04,169099.0,0.345,131.0272,-0.137546247891,4.8,3535.744251,NASDAQ,Biotechnology
29,ABMD US,2019-01-04,476972.0,302.29,52.2176,1.49699272762,13615.0,134.87076325,NASDAQ,Healthcare-Products
30,ABM US,2019-01-04,762909.5,30.95,40.8384,0.965961080131,2043.61,196.68194625,NYSE,Commercial Services
31,ABR US,2019-01-04,1299379.5,10.34,27.2192,0.548748359554,1090.99,983.042288,NYSE,REITS
32,ABT US,2019-01-04,5959282.0,66.22,28.704,1.0102776581,116304.37,258.40207675,NYSE,Healthcare-Products
33,ABTX US,2019-01-04,66482.5,33.55,42.0992,0.713365407319,732.3,243.83396225,NASDAQ,Banks
34,AB US,2019-01-04,623539.0,27.47,42.8544,0.96056071985,2647.37,308.96507275,NYSE,Diversified Finan Serv
35,ABUS US,2019-01-04,196845.5,3.77,93.0432,1.70268032426,209.15,384.2777045,NASDAQ,Biotechnology
36,ACAD US,2019-01-04,1512046.5,16.17,72.672,1.68867274896,2322.43,298.85472825,NASDAQ,Biotechnology
37,ACA US,2019-01-04,196151.5,28.28,48.64,0.497960067785,1379.09,185.04997625,NYSE,Engineering&Construction
38,ACBI US,2019-01-04,108009.5,16.99,36.4992,0.584248553725,443.57,188.44010925,NASDAQ,Banks
39,ACB US,2019-01-04,9078166.5,5.14,75.4688,1.3800027707,5129.23,4772.4728445,NYSE,Pharmaceuticals
40,ACCO US,2019-01-04,711687.0,7.2,46.688,1.0280266984,739.73,571.18289075,NYSE,Household Products/Wares
41,ACC US,2019-01-04,575437.5,40.94,24.672,0.400112697048,5610.07,190.84616525,NYSE,REITS
42,ACER US,2019-01-04,31215.0,20.4,98.2912,0.578762510863,205.08,408.67104625,NASDAQ,Biotechnology
43,ACES US,2019-01-04,13769.0,22.5179,32.832,0.0739437408477,16.89,335.07492725,BATS,
44,ACET US,2019-01-04,473422.5,0.9811,108.1408,0.997130610092,30.18,1983.92650725,NASDAQ,Chemicals
45,ACGL US,2019-01-04,948716.0,25.78,22.9504,0.660879756464,10433.79,342.2338645,NASDAQ,Insurance
46,ACHC US,2019-01-04,754820.5,25.4,50.4128,1.03977883884,2241.71,205.62461425,NASDAQ,Healthcare-Services
47,ACHN US,2019-01-04,2811966.5,1.65,94.9376,1.14351955862,228.72,6053.8574715,NASDAQ,Biotechnology
48,ACH US,2019-01-04,43364.0,7.63,32.9472,0.604133438135,6817.54,306.5041175,NYSE,Mining
49,ACHV US,2019-01-04,70307.0,1.3,129.1072,0.871526262355,8.74,943.60688025,NASDAQ,Biotechnology
50,ACIA US,2019-01-04,324102.0,36.73,44.9344,1.05213694309,1485.48,160.08734125,NASDAQ,Telecommunications
51,ACIM US,2019-01-04,46716.0,68.8,25.6256,0.393459733382,151.36,463.2420165,ARCA,
52,ACIU US,2019-01-04,86314.0,9.43,90.5984,0.966741904532,636.07,231.3664385,NASDAQ,Pharmaceuticals
53,ACIW US,2019-01-04,589782.0,25.16,37.1072,1.04813521881,2918.05,176.76801975,NASDAQ,Software
54,ACLS US,2019-01-04,167572.0,16.57,47.6032,1.27333361954,537.07,175.83553825,NASDAQ,Semiconductors
55,ACMR US,2019-01-04,24992.0,10.37,79.8528,0.515853762118,165.96,865.02786675,NASDAQ,Semiconductors
56,ACM US,2019-01-04,810793.0,26.37,34.3424,0.928964563502,4122.99,222.88854875,NYSE,Engineering&Construction
57,ACNB US,2019-01-04,9712.5,39.15,72.6336,0.0575895960034,275.7,431.692595,NASDAQ,Banks
58,ACN US,2019-01-04,1998191.5,135.79,26.8992,1.04441624402,86689.45,155.798563,NYSE,Computers
59,ACOR US,2019-01-04,849129.5,15.9,67.7952,1.26275053267,756.18,213.8050445,NASDAQ,Biotechnology
60,ACP US,2019-01-04,146376.0,10.66,21.7984,0.219736515424,139.37,488.89091925,NYSE,
61,ACRE US,2019-01-04,115219.5,13.05,23.4624,0.520231475725,374.52,329.31292525,NYSE,REITS
62,ACRS US,2019-01-04,585808.5,7.34,74.496,1.10492429377,300.47,378.60734525,NASDAQ,Pharmaceuticals
63,ACRX US,2019-01-04,2115710.5,2.6,88.7232,1.32499083178,193.67,2595.47326125,NASDAQ,Pharmaceuticals
64,ACSG US,2019-01-04,0.0,23.41,5.0944,0.000936757664039,7.02,587.43673375,ARCA,
65,ACSI US,2019-01-04,1936.0,28.582,23.5328,0.185998198809,48.59,2688.5156695,BATS,
66,ACST US,2019-01-04,479735.5,0.8729,86.56,0.351659598765,68.2,1628.65474125,NASDAQ,Pharmaceuticals
67,ACTG US,2019-01-04,175113.5,3.0,61.9776,0.594749126783,148.92,1042.58608425,NASDAQ,Commercial Services
68,ACT US,2019-01-04,4198.5,21.16,19.36,0.287640618792,11.11,276.090659,NASDAQ,
69,AC US,2019-01-04,10719.5,36.16,61.952,0.316217751059,817.13,211.780386,NYSE,Diversified Finan Serv
