index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-01-03,23627.5,13.05,12.0512,0.00183485857094,90.7,9055.32153675,ARCA,
1,AABA US,2019-01-03,5363620.0,57.49,29.9584,0.896197983347,34810.67,976.34887175,NASDAQ,
2,AAC US,2019-01-03,299759.0,1.63,111.3024,0.504159879385,40.1,739.0594155,NYSE,Healthcare-Services
3,AADR US,2019-01-03,69502.5,40.33,22.8672,0.264899956107,98.81,688.37306375,ARCA,
4,AAL US,2019-01-03,7213425.5,32.48,43.264,1.3315252985,14959.69,405.3537625,NASDAQ,Airlines
5,AAMC US,2019-01-03,2830.5,30.01,134.7136,0.0833861433387,49.01,155.8436685,AMEX,Diversified Finan Serv
6,AAME US,2019-01-03,1690.5,2.5,100.5632,0.0579459179139,50.5,522.2178945,NASDAQ,Insurance
7,AAN US,2019-01-03,399318.0,43.48,43.5008,1.097157406,2982.5,160.01456775,NYSE,Commercial Services
8,AAOI US,2019-01-03,758849.0,15.88,72.224,1.43437820627,314.4,250.4006335,NASDAQ,Electronics
9,AAON US,2019-01-03,123082.0,35.07,42.0864,1.02521875104,1826.96,159.49778,NASDAQ,Building Materials
10,AAPL US,2019-01-03,43473906.5,157.92,30.9056,1.14767037384,749393.25,367.1682235,NASDAQ,Computers
11,AAP US,2019-01-03,839999.5,157.92,31.5008,0.855989944346,11511.38,142.95364525,NYSE,Retail
12,AAT US,2019-01-03,178212.0,39.3,26.112,0.521186026992,1855.83,154.49254375,NYSE,REITS
13,AA US,2019-01-03,2874778.5,26.24,50.1824,1.38435160933,4893.6,322.54448,NYSE,Mining
14,AAU US,2019-01-03,203514.0,0.698,80.2816,-0.00714300587434,77.92,1736.0276415,AMEX,Mining
15,AAWW US,2019-01-03,342227.5,41.71,49.5424,1.09829827383,1067.37,160.39553225,NASDAQ,Transportation
16,AAXJ US,2019-01-03,1270080.5,63.09,15.9616,0.631049410696,4138.7,955.90165425,NASDAQ,
17,AAXN US,2019-01-03,637671.0,45.11,47.6288,0.913553999913,2652.96,200.57480725,NASDAQ,Miscellaneous Manufactur
18,ABAC US,2019-01-03,6680.5,1.36,101.8432,0.0244099440155,17.73,1159.796264,NASDAQ,Agriculture
19,ABB US,2019-01-03,3043491.0,19.0,19.7952,0.688452996027,41194.82,3863.428767,NYSE,Machinery-Constr&Mining
20,ABBV US,2019-01-03,5298848.0,89.23,36.2176,0.970890724999,134221.22,208.8680015,NYSE,Pharmaceuticals
21,ABCB US,2019-01-03,469161.5,31.95,40.8832,1.0333907372,1517.72,168.19607225,NASDAQ,Banks
22,ABC US,2019-01-03,1213844.0,74.45,34.4832,1.01334658608,15778.45,160.23711275,NYSE,Pharmaceuticals
