index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-01-07,33226.0,12.838,11.8592,-0.00830869750927,89.22,7733.92013625,ARCA,
1,AABA US,2019-01-07,5363620.0,58.72,30.5536,0.917283669243,35555.44,905.48066225,NASDAQ,
2,AAC US,2019-01-07,237288.0,1.86,119.1104,0.79005748323,45.76,706.10737925,NYSE,Healthcare-Services
3,AADR US,2019-01-07,44722.5,41.43,22.3936,0.285762872308,101.5,618.701771,ARCA,
4,AAL US,2019-01-07,6644058.0,32.04,48.9536,1.38797364026,14757.03,453.752444,NASDAQ,Airlines
5,AAMC US,2019-01-07,6269.0,29.76,130.6688,0.0376521146947,48.6,196.90398375,AMEX,Diversified Finan Serv
6,AAME US,2019-01-07,1850.5,2.52,101.3184,0.0322368872752,50.9,470.94033125,NASDAQ,Insurance
7,AAN US,2019-01-07,397640.5,43.99,43.776,1.09211086708,3017.48,155.156181,NYSE,Commercial Services
8,AAOI US,2019-01-07,633894.0,15.54,70.688,1.38771821516,307.67,236.505671,NASDAQ,Electronics
9,AAON US,2019-01-07,115446.0,35.61,42.3168,1.06211124536,1855.09,154.43529225,NASDAQ,Building Materials
10,AAPL US,2019-01-07,41911807.0,148.26,30.7904,1.12086519733,703552.71,380.77364775,NASDAQ,Computers
11,AAP US,2019-01-07,839999.5,158.81,32.352,0.801733147955,11576.25,142.71722025,NYSE,Retail
12,AAT US,2019-01-07,154973.5,39.63,25.9904,0.529606134215,1871.41,152.80264825,NYSE,REITS
13,AA US,2019-01-07,2694656.0,28.34,51.8144,1.44831115868,5285.24,304.675751,NYSE,Mining
14,AAU US,2019-01-07,190847.0,0.7088,79.104,-0.0218288312522,79.13,1462.8594365,AMEX,Mining
15,AAWW US,2019-01-07,258593.0,41.9,51.9488,1.18933784201,1072.23,160.39553225,NASDAQ,Transportation
16,AAXJ US,2019-01-07,1232396.5,63.63,15.872,0.623677085793,4199.58,955.90165425,NASDAQ,
17,AAXN US,2019-01-07,637671.0,46.01,47.7056,0.923227530135,2705.89,212.39817425,NASDAQ,Miscellaneous Manufactur
18,ABAC US,2019-01-07,8680.5,1.195,107.2064,0.189421574007,15.58,1013.57158875,NASDAQ,Agriculture
19,ABB US,2019-01-07,2413807.5,19.29,19.6544,0.686580075229,41823.58,3395.16009625,NYSE,Machinery-Constr&Mining
20,ABBV US,2019-01-07,5498645.5,89.07,35.6352,0.9679333962,133980.55,208.56984925,NYSE,Pharmaceuticals
21,ABCB US,2019-01-07,348435.5,33.08,40.7488,1.0345495259,1571.39,164.0446,NASDAQ,Banks
22,ABC US,2019-01-07,1000398.0,74.22,34.6624,0.982055389506,15729.7,153.4716165,NYSE,Pharmaceuticals
23,ABDC US,2019-01-07,47987.5,6.88,42.176,0.113834476105,93.0,863.3732235,NASDAQ,Investment Companies
24,ABEO US,2019-01-07,506448.0,7.02,83.008,1.44443095324,336.57,407.572392,NASDAQ,Biotechnology
25,ABEV US,2019-01-07,16924841.0,4.42,31.392,0.700138492383,69491.89,105861.677835,NYSE,Beverages
26,ABG US,2019-01-07,139543.5,68.47,39.8848,0.914630876048,1342.12,122.4204655,NYSE,Retail
27,ABIL US,2019-01-07,245485.0,1.9,110.624,0.592455518221,12.13,1255.25593925,NASDAQ,Computers
28,ABIO US,2019-01-07,138907.0,0.3755,132.0384,-0.00962932691206,5.23,3969.13151925,NASDAQ,Biotechnology
29,ABMD US,2019-01-07,476972.0,313.44,51.9168,1.50807801202,14117.19,134.87076325,NASDAQ,Healthcare-Products
30,ABM US,2019-01-07,644161.5,32.01,40.3584,0.97074084158,2113.6,196.68194625,NYSE,Commercial Services
31,ABR US,2019-01-07,1226141.5,10.62,27.264,0.573040052081,1120.53,1027.98551675,NYSE,REITS
32,ABT US,2019-01-07,5959282.0,68.11,28.3392,1.00287652024,119623.84,266.5886445,NYSE,Healthcare-Products
33,ABTX US,2019-01-07,61350.0,34.75,42.2144,0.731064598296,758.49,243.83396225,NASDAQ,Banks
34,AB US,2019-01-07,623539.0,28.1,41.9968,0.936103875556,2708.08,314.4392115,NYSE,Diversified Finan Serv
35,ABUS US,2019-01-07,196845.5,4.1,94.4,1.72633225982,227.46,358.229846,NASDAQ,Biotechnology
36,ACAD US,2019-01-07,1512046.5,17.57,72.6528,1.65678256568,2523.51,298.85472825,NASDAQ,Biotechnology
37,ACA US,2019-01-07,196151.5,29.01,48.2752,0.515382415028,1414.69,185.04997625,NYSE,Engineering&Construction
38,ACBI US,2019-01-07,106243.0,17.6,37.152,0.634168107351,459.5,188.44010925,NASDAQ,Banks
39,ACB US,2019-01-07,7741784.0,5.22,74.0416,1.35902064116,5209.06,4772.4728445,NYSE,Pharmaceuticals
40,ACCO US,2019-01-07,771199.0,7.68,47.5584,1.08612659918,789.04,546.703766,NYSE,Household Products/Wares
41,ACC US,2019-01-07,575437.5,41.19,24.6144,0.410800286303,5644.33,186.4500165,NYSE,REITS
42,ACER US,2019-01-07,31215.0,21.5,96.9664,0.561073540222,216.14,404.77632075,NASDAQ,Biotechnology
43,ACES US,2019-01-07,10449.0,23.2183,33.1136,0.0442041811707,19.74,324.3130365,BATS,
44,ACET US,2019-01-07,473422.5,1.05,108.8192,1.03922574737,32.3,1983.92650725,NASDAQ,Chemicals
45,ACGL US,2019-01-07,909775.5,26.39,22.6816,0.660182737692,10680.67,348.49037425,NASDAQ,Insurance
46,ACHC US,2019-01-07,754820.5,26.14,49.3184,1.04750334679,2307.01,197.01422425,NASDAQ,Healthcare-Services
47,ACHN US,2019-01-07,2811966.5,1.8,94.4896,1.2077715538,249.51,5668.40480025,NASDAQ,Biotechnology
48,ACH US,2019-01-07,35745.0,7.98,33.1328,0.634046598042,6955.19,306.86327125,NYSE,Mining
49,ACHV US,2019-01-07,70307.0,1.34,128.3648,0.786087832866,9.01,984.1104015,NASDAQ,Biotechnology
50,ACIA US,2019-01-07,352018.0,38.44,46.4768,1.07570586776,1554.64,160.08734125,NASDAQ,Telecommunications
51,ACIM US,2019-01-07,36335.0,70.73,25.3248,0.398208449022,155.61,463.2420165,ARCA,
52,ACIU US,2019-01-07,78274.0,10.05,90.88,1.04831678449,677.9,197.14069625,NASDAQ,Pharmaceuticals
53,ACIW US,2019-01-07,589782.0,26.17,37.6,1.08404430977,3035.19,176.85534525,NASDAQ,Software
54,ACLS US,2019-01-07,176048.5,17.61,47.3344,1.27325567767,570.78,173.098771,NASDAQ,Semiconductors
55,ACMR US,2019-01-07,24403.0,10.7,79.104,0.524154813822,171.24,499.4493775,NASDAQ,Semiconductors
56,ACM US,2019-01-07,810793.0,27.74,34.9056,0.967925288324,4337.19,231.26145025,NYSE,Engineering&Construction
57,ACNB US,2019-01-07,7102.5,38.84,71.2384,0.0511724301745,273.52,431.692595,NASDAQ,Banks
58,ACN US,2019-01-07,1998191.5,141.07,26.7904,1.04498747204,90060.25,155.72808125,NYSE,Computers
59,ACOR US,2019-01-07,824876.0,16.72,67.7312,1.24052803919,795.18,213.8050445,NASDAQ,Biotechnology
60,ACP US,2019-01-07,125084.0,10.82,21.8432,0.231109838185,141.46,488.89091925,NYSE,
61,ACRE US,2019-01-07,115219.5,13.33,23.424,0.5295255562,382.55,317.524586,NYSE,REITS
62,ACRS US,2019-01-07,498724.5,7.63,74.1824,1.10905219265,312.34,393.138947,NASDAQ,Pharmaceuticals
63,ACRX US,2019-01-07,1688264.0,2.74,87.168,1.32847037764,204.1,2595.47326125,NASDAQ,Pharmaceuticals
64,ACSG US,2019-01-07,0.0,24.1,4.7936,0.000855377580203,7.23,587.43673375,ARCA,
65,ACSI US,2019-01-07,1936.0,29.4475,24.6912,0.225634625457,50.06,2628.77993775,BATS,
66,ACST US,2019-01-07,459418.0,0.9,89.3312,0.40594939129,70.32,1497.37430725,NASDAQ,Pharmaceuticals
67,ACTG US,2019-01-07,152138.0,2.99,61.7344,0.575945623934,148.42,1042.58608425,NASDAQ,Commercial Services
68,ACT US,2019-01-07,3764.5,21.75,19.3728,0.261475649192,11.42,301.32145275,NASDAQ,
69,AC US,2019-01-07,7479.5,36.0,61.0304,0.308111311965,813.51,219.65392875,NYSE,Diversified Finan Serv
70,ACU US,2019-01-07,22331.0,15.63,91.8784,0.211168728084,53.06,401.2499185,AMEX,Household Products/Wares
71,ACV US,2019-01-07,85001.5,19.2,28.0192,0.416563007638,197.28,578.08443925,NYSE,
72,ACWF US,2019-01-07,47020.0,26.2785,19.6928,0.48924350081,168.18,1161.1114375,ARCA,
73,ACWI US,2019-01-07,10853341.0,65.06,18.272,0.802515100706,11112.25,1751.49927625,NASDAQ,
74,ACWV US,2019-01-07,814097.5,81.735,13.9072,0.56116664169,3604.51,694.591537,BATS,
75,ACWX US,2019-01-07,5947981.5,42.7,14.6368,0.57551443723,4867.8,4140.4832545,NASDAQ,
76,ACY US,2019-01-07,7968.5,9.62,88.2368,0.330802899138,14.87,298.77975775,AMEX,Diversified Finan Serv
77,ADAP US,2019-01-07,616438.0,5.72,100.3008,0.967467438315,598.14,350.67740275,NASDAQ,Biotechnology
78,ADBE US,2019-01-07,2929615.0,226.19,38.0992,1.31046251313,110410.92,159.424605,NASDAQ,Software
79,ADC US,2019-01-07,291790.5,58.7,26.0352,0.43390602201,2024.07,161.4332465,NYSE,REITS
80,ADES US,2019-01-07,88111.0,10.69,47.9168,0.814840403931,212.9,257.19537575,NASDAQ,Coal
81,ADIL US,2019-01-07,1497650.5,6.4,181.7088,0.195460081466,41.96,755.136984,NASDAQ,Biotechnology
82,ADI US,2019-01-07,1891104.5,82.69,30.8416,1.01684886696,30608.49,201.8359045,NASDAQ,Semiconductors
83,ADMA US,2019-01-07,384676.5,2.95,95.2192,0.932003124089,136.74,532.47555175,NASDAQ,Biotechnology
84,ADMP US,2019-01-07,427314.0,2.45,84.5504,0.978668399424,115.86,1258.8319655,NASDAQ,Pharmaceuticals
85,ADMS US,2019-01-07,460569.5,9.21,74.4064,1.45633026957,251.76,248.501895,NASDAQ,Pharmaceuticals
86,ADM US,2019-01-07,2390994.0,41.71,25.1264,0.847268760651,23384.48,335.96978625,NYSE,Agriculture
87,ADNT US,2019-01-07,2590480.5,15.18,69.9776,1.41569233275,1417.75,300.7887865,NYSE,Auto Parts&Equipment
88,ADOM US,2019-01-07,255170.5,0.3021,142.1056,0.896492064203,21.97,2001.07286475,NASDAQ,Auto Manufacturers
89,ADP US,2019-01-07,1542089.5,131.24,28.1792,1.05080806783,57448.01,162.4086615,NASDAQ,Commercial Services
90,ADRA US,2019-01-07,685.5,28.59,20.48,0.0309229933872,17.15,361.17499925,NASDAQ,
91,ADRD US,2019-01-07,12747.0,19.55,16.5888,0.211353711886,52.78,504.572363,NASDAQ,
92,ADRE US,2019-01-07,5054.5,36.88,20.064,0.12360695233,121.7,366.5817465,NASDAQ,
93,ADRO US,2019-01-07,559682.0,2.93,102.6496,1.73130147535,232.65,689.868186,NASDAQ,Biotechnology
94,ADRU US,2019-01-07,1462.0,19.42,14.432,0.0254204666232,13.59,607.31002775,NASDAQ,
95,ADSK US,2019-01-07,1395865.0,128.28,42.4576,1.47525366782,28094.45,146.40406575,NASDAQ,Software
96,ADS US,2019-01-07,456396.5,161.7,38.9568,1.26173290327,8808.37,127.452263,NYSE,Diversified Finan Serv
97,ADSW US,2019-01-07,337848.5,23.78,28.544,0.641670238234,2108.37,211.0253055,NYSE,Environmental Control
98,ADTN US,2019-01-07,322181.5,11.26,48.4864,1.10904510264,536.54,231.31572825,NASDAQ,Telecommunications
99,ADT US,2019-01-07,2265086.0,6.67,53.2864,0.965709543882,5046.44,1818.447042,NYSE,Electronics
100,ADUS US,2019-01-07,125198.5,66.12,50.112,0.900794884698,866.06,148.24115725,NASDAQ,Healthcare-Services
101,ADVM US,2019-01-07,213098.5,3.56,76.3136,1.47652017367,223.81,466.15548125,NASDAQ,Biotechnology
102,ADXS US,2019-01-07,891872.5,0.2794,140.0,0.719351560252,19.34,2069.15516125,NASDAQ,Biotechnology
103,ADX US,2019-01-07,423218.5,12.65,22.8608,0.790697988734,1275.99,785.161874,NYSE,
104,AEE US,2019-01-07,918349.0,64.59,22.5856,0.392142824231,15762.54,209.875057,NYSE,Electric
105,AEF US,2019-01-07,120097.5,6.515,18.9696,0.223665161172,579.63,5605.285238,AMEX,
106,AEGN US,2019-01-07,139128.0,17.32,47.2512,0.924912244621,559.68,175.048843,NASDAQ,Engineering&Construction
107,AEG US,2019-01-07,1727409.0,4.81,21.6576,0.673214211042,10150.42,12783.061747,NYSE,Insurance
108,AEHR US,2019-01-07,67633.0,1.43,86.4128,0.194808127754,31.82,1748.48383525,NASDAQ,Semiconductors
109,AEIS US,2019-01-07,232498.0,42.99,46.528,1.25253194399,1654.64,153.83821775,NASDAQ,Electronics
110,AEL US,2019-01-07,403716.0,29.09,40.6912,1.25172648744,2628.08,168.37041375,NYSE,Insurance
111,AEMD US,2019-01-07,130120.0,1.47,105.0112,0.233124119994,27.01,2462.34382325,NASDAQ,Healthcare-Products
112,AEM US,2019-01-07,1493273.0,40.49,35.2896,0.045372801908,9499.21,492.9434515,NYSE,Mining
113,AEO US,2019-01-07,3734884.0,19.17,46.6944,0.962481605914,3382.21,588.43539925,NYSE,Retail
114,AEP US,2019-01-07,1827341.5,73.44,21.3568,0.366929143115,36213.91,191.9700555,NYSE,Electric
115,AERI US,2019-01-07,440390.0,37.76,59.0144,0.95304741252,1716.33,163.111511,NASDAQ,Pharmaceuticals
116,AER US,2019-01-07,1873364.0,41.8,36.1472,1.11558710138,6142.97,206.16792775,NYSE,Trucking&Leasing
117,AES US,2019-01-07,4807581.0,14.64,27.7504,0.679428413897,9696.04,2848.3680905,NYSE,Electric
118,AETI US,2019-01-07,128888.0,0.84,156.3392,0.633078907229,7.62,1189.5583105,NASDAQ,Engineering&Construction
119,AE US,2019-01-07,4049.5,40.42,75.296,-0.126778811285,170.48,173.07168775,AMEX,Oil&Gas
120,AEYE US,2019-01-07,16527.0,8.54,107.6544,0.150062787287,64.46,608.37749375,NASDAQ,Internet
121,AEY US,2019-01-07,14844.5,1.43,64.5248,0.10379900025,14.74,981.10259725,NASDAQ,Distribution/Wholesale
122,AEZS US,2019-01-07,157955.0,3.41,85.1328,0.78480596789,56.06,926.64294125,NASDAQ,Biotechnology
123,AFB US,2019-01-07,140098.5,12.32,9.8688,-0.0413056347015,354.14,620.9699785,NYSE,
124,AFG US,2019-01-07,211141.0,90.47,23.8528,0.750922745881,8074.74,127.323175,NYSE,Insurance
125,AFH US,2019-01-07,22225.5,8.9,77.9584,-0.483388463918,106.24,202.38442275,NASDAQ,Insurance
126,AFIF US,2019-01-07,28602.5,9.9119,16.1728,-0.00906839953601,49.06,402.28297425,BATS,
127,AFIN US,2019-01-07,309988.5,13.37,54.5664,0.140547016264,1771.47,369.588829,NASDAQ,REITS
128,AFI US,2019-01-07,108723.5,13.34,43.8208,0.960222550395,344.54,197.43739825,NYSE,Building Materials
129,AFK US,2019-01-07,6344.5,20.2,26.3168,0.216149448617,55.55,556.668099,ARCA,
130,AFL US,2019-01-07,3212443.0,44.92,22.8928,0.797778395314,34196.67,338.4197005,NYSE,Insurance
131,AFMD US,2019-01-07,433415.0,3.28,88.6976,1.49925495559,204.76,1625.644315,NASDAQ,Biotechnology
132,AFT US,2019-01-07,124904.5,14.52,14.3232,0.102276277668,226.12,794.1112,NYSE,
133,AFTY US,2019-01-07,5021.5,13.48,17.3632,0.0907879556077,10.19,600.644011,ARCA,
134,AGCO US,2019-01-07,426669.0,57.55,34.5216,1.04699058054,4505.25,156.58073775,NYSE,Machinery-Diversified
135,AGD US,2019-01-07,114749.5,8.66,24.0768,0.395618939015,108.68,715.66063875,NYSE,
136,AGEN US,2019-01-07,2075657.5,2.97,109.0368,1.93536195556,356.39,3014.030974,NASDAQ,Biotechnology
137,AGE US,2019-01-07,137212.5,3.54,148.2368,0.429515655192,126.84,783.99864275,AMEX,Biotechnology
138,AGFS US,2019-01-07,111625.5,3.81,58.0864,0.968508719461,194.34,338.40497525,NASDAQ,Chemicals
139,AGF US,2019-01-07,104.5,8.36,29.8368,0.0506082323906,0.71,172.9841315,ARCA,
140,AGGE US,2019-01-07,22906.0,18.59,6.0416,-0.00951928437971,64.14,418.94875275,ARCA,
